what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385805317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385807989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385809083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385813341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385819483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385823554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385826164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385831921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385831962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385831975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385927059
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1586385927069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385928097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385937678
error,log,,,"Unable to validate connection settings.",1586385946628
error,log,,,"Unable to validate connection settings.",1586385946628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385946647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385951940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385965343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385966431
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586385966740
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586385966819
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1586385966938
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586385996215
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586385996216
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1586385996235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386007512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386011086
error,log,,,"Unable to validate connection settings.",1586386012790
error,log,,,"Unable to validate connection settings.",1586386012791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386012809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386057812
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586386060276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386063872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386065205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386070993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386108026
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1586386108039
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386109684
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1586386109850
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1586386109863
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586386120746
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586386130414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386146387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386154783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386156039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386157472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386161543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386163440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386166323
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386166351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386166577
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586386166581
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386172150
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586386184006
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586386185977
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1586386189148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386196752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386201911
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386204584
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586386204791
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386210383
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586386221580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386244416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386252652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386290642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386321902
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386324488
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586386324735
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386330288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386331381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386335449
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586386335465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586386362981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386366747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386528106
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586386528120
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586386530994
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586386531060
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586386535440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386537838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386539477
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1586386539784
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386541485
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586386541694
